profile,profile-href,Name,GRE,TOEFL,UG_Score,work_exp,paper,nexpage,nexpage-href,background,year
"devanshu.jain919","https://yocket.in/profiles/devanshu.jain919","","GRE

320 


Quant: 168

Verbal: 152","TOEFL
104","UG Score
9.76CGPA","Work Exp.
10 months","Tech Papers
National","","https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/3?page=5","Undergrad:

Computer Science from Dhirubhai Ambani Institute of Information & Communication Technology (DA-IICT), Gandhinagar","Computer & Information Science (Fall 2016)"
"YogeshAgrawal","https://yocket.in/profiles/YogeshAgrawal","","GRE

332 


Quant: 170

Verbal: 162","TOEFL
107","UG Score
7.02CGPA","Work Exp.
32 months","Tech Papers
None","","","Undergrad:

Computer Science from National Institute of Technology Karnataka, Surathkal (NIT-K), Surathkal","Interested in Computer Science / Information Technology (Fall 2017)"
"vrittirohira","https://yocket.in/profiles/vrittirohira","","GRE

320 


Quant: 168

Verbal: 152","TOEFL
106","UG Score
9.16CGPA","Work Exp.
5 months","Tech Papers
None","","","Undergrad:

Computer Science from Veermata Jijabai Technological Institute(vjti), Amli","Interested in Computer Science / Information Technology (Fall 2017)"
"johncena","https://yocket.in/profiles/johncena","","GRE

327 


Quant: 170

Verbal: 157","TOEFL
106","UG Score
9.3CGPA","Work Exp.
27 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/3?page=3","Undergrad:

Computer Science from YMCA University of Science and Technology, Faridabad","Interested in Computer Science / Information Technology (Fall 2017)"
"mohammad-faisal","https://yocket.in/profiles/mohammad-faisal","","GRE

327 


Quant: 168

Verbal: 159","TOEFL
115","UG Score
70.83%","Work Exp.
31 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/3?page=5","Undergrad:

Computer Science from Xavier Institute Of Engineering, Mahim, Mumbai","Interested in Computer Science / Information Technology (Fall 2016)"
"nayanambuj","https://yocket.in/profiles/nayanambuj","","GRE

323 


Quant: 165

Verbal: 158","TOEFL
112","UG Score
8.5CGPA","Work Exp.
60 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/3?page=8","Undergrad:

Computer Science from SASTRA University , Thanjavur","Interested in Computer Science / Information Technology (Fall 2016)"
"soco","https://yocket.in/profiles/soco","","GRE

321 


Quant: 168

Verbal: 153","TOEFL
102","UG Score
9.49CGPA","Work Exp.
10 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/3?page=6","Undergrad:

Computer Science from Shah And Anchor Kutchhi Engineering College , Mumbai","Computer Science (Fall 2016)"
"saumilgandhi.stupidsid","https://yocket.in/profiles/saumilgandhi.stupidsid","","GRE

319 


Quant: 159

Verbal: 160","TOEFL
109","UG Score
8.6CGPA","Work Exp.
20 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/3?page=8","Undergrad:

Computer Science from Veermata Jijabai Technological Institute (VJTI), Matunga, Mumbai","Computer Engineering (Fall 2013)"
"venky1997","https://yocket.in/profiles/venky1997","","GRE

310 


Quant: 161

Verbal: 149","TOEFL
98","UG Score
8.16CGPA","Work Exp.
1 month","Tech Papers
International","","https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/3?page=6","Undergrad:

Computer Science from NMIMS Mukesh Patel School of Technology and Management, Vile Parle, Mumbai","Computer Science (Fall 2016)"
"puranamsrinivas26","https://yocket.in/profiles/puranamsrinivas26","","GRE

314 


Quant: 162

Verbal: 152","TOEFL
101","UG Score
9CGPA","Work Exp.
24 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/3?page=6","Undergrad:

Computer Science from University college of Engineering, Osmania university, Hyderabad","Computer Science (Fall 2016)"
