profile,profile-href,Name,GRE,TOEFL,UG_Score,work_exp,paper,nexpage,nexpage-href,background,year
"kakarot","https://yocket.in/profiles/kakarot","","GRE

298 


Quant: 153

Verbal: 145","TOEFL
87","UG Score
7.02CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=2","Undergrad:

Computer Science from Gujarat Technological University, Ahmedabad","Interested in Computer Science / Information Technology (Fall 2016)"
"kamath.sanket4","https://yocket.in/profiles/kamath.sanket4","","GRE

293 


Quant: 144

Verbal: 149","TOEFL
107","UG Score
7.7CGPA","Work Exp.
NA","Tech Papers
National","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=2","Undergrad:

Information Technology from Vidya Vikas Education Trust's Technical Campus (Universal College), Kaman, Mumbai","Information Systems (Fall 2016)"
"Rahul2017","https://yocket.in/profiles/Rahul2017","","GRE

299 


Quant: 152

Verbal: 147","TOEFL
85","UG Score
58.6%","Work Exp.
60 months","Tech Papers
None","","","Undergrad:

Electronics and Communication Engineering from Rajiv Gandhi College of Engineering and Technology, Nagpur","Computer Science (Spring 2017)"
"karan1993","https://yocket.in/profiles/karan1993","","GRE

298 


Quant: 154

Verbal: 144","TOEFL
97","UG Score
7CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=2","Undergrad:

Information Technology from Universal College Of Engineering ,kaman road,vasai, Vasai","Interested in Computer Science / Information Technology (Fall 2016)"
"hsevna","https://yocket.in/profiles/hsevna","","GRE

300 


Quant: 153

Verbal: 147","IELTS
7","UG Score
60.86%","Work Exp.
24 months","Tech Papers
None","","","Undergrad:

Computer Science from GMR Institute of Technology, Rajam","Computer & Information Science (Fall 2017)"
"akash4492","https://yocket.in/profiles/akash4492","","GRE

314 


Quant: 169

Verbal: 145","TOEFL
98","UG Score
7.74CGPA","Work Exp.
28 months","Tech Papers
None","","","Undergrad:

Mechanical Engineering from G H Patel College Of Engineering & Technology, Anand","Computer Science (Spring 2017)"
"vinitpatel.stupidsid","https://yocket.in/profiles/vinitpatel.stupidsid","","GRE

309 


Quant: 161

Verbal: 148","IELTS
7","UG Score
7.52CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=3","Undergrad:

Computer Science from Sardar Vallabhbhai Patel Institute of Technology, Vasad, Anand","Computer Science (Fall 2013)"
"tejasc13","https://yocket.in/profiles/tejasc13","","GRE

301 


Quant: 158

Verbal: 143","IELTS
6.5","UG Score
58%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=3","Undergrad:

Electrical and Electronics Engineering from KC College Of Engineering And Management Studies And Research, Kopri, Mumbai","Interested in Computer Science / Information Technology (Fall 2015)"
"afsangujarati","https://yocket.in/profiles/afsangujarati","","GRE

311 


Quant: 163

Verbal: 148","TOEFL
106","UG Score
61%","Work Exp.
30 months","Tech Papers
None","","","Undergrad:

Automobile Engineering from M.H.Saboo Siddik College of Engineering, Mumbai","Interested in Computer Science / Information Technology (Fall 2017)"
"chaithanya-krishna","https://yocket.in/profiles/chaithanya-krishna","","GRE

301 


Quant: 156

Verbal: 145","TOEFL
100","UG Score
59%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=2","Undergrad:

Electronics and Communication Engineering from Sir M. Visvesvaraya Institute Of Technology (MVIT), Bengaluru","Computer Science (Fall 2016)"
"manishgajare.stupidsid","https://yocket.in/profiles/manishgajare.stupidsid","","GRE

305 


Quant: 159

Verbal: 146","TOEFL
92","UG Score
58%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=3","Undergrad:

Computer Science from Ramrao Adik Institute of Technology (RAIT), Nerul, Mumbai","Computer Science (Fall 2013)"
"suhagraval04","https://yocket.in/profiles/suhagraval04","","GRE

293 


Quant: 154

Verbal: 139","IELTS
6.5","UG Score
7CGPA","Work Exp.
16 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=2","Undergrad:

Computer Science from K.S.I.T, Bengaluru","Interested in Computer Science / Information Technology (Fall 2016)"
"msinusfall2016","https://yocket.in/profiles/msinusfall2016","","GRE

302 


Quant: 152

Verbal: 150","TOEFL
96","UG Score
69%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=2","Undergrad:

Computer Science from Vishveshvaraya Technological University (VTU), Bengaluru","Information Assurance (Fall 2016)"
"riyashah","https://yocket.in/profiles/riyashah","","GRE

290 


Quant: 150

Verbal: 140","TOEFL
85","UG Score
56.4%","Work Exp.
4 months","Tech Papers
International","","","Undergrad:

Computer Science from Sinhgad Institute Of Technology And Science, Narhe, Pune","Computer Science (Fall 2017)"
"nikskushwah","https://yocket.in/profiles/nikskushwah","","GRE

306 


Quant: 159

Verbal: 147","TOEFL
88","UG Score
6.7CGPA","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Computer Science from Oriental College of Technology, Bhopal","Computer Science (Spring 2017)"
"nirmik379kale","https://yocket.in/profiles/nirmik379kale","","GRE

302 


Quant: 151

Verbal: 151","TOEFL
106","UG Score
53%","Work Exp.
20 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=2","Undergrad:

Computer Science from k.k.wagh institute of engineering education and research, Nashik","Computer Science (Fall 2016)"
"omkarsalunke14993","https://yocket.in/profiles/omkarsalunke14993","","GRE

304 


Quant: 144

Verbal: 160","TOEFL
93","UG Score
62%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=2","Undergrad:

Information Technology from Vidyavardhini's College of Engineering and Technology (VCET), Vasai","Computer Science (Fall 2016)"
"priyanarayanan","https://yocket.in/profiles/priyanarayanan","","GRE

301 


Quant: 153

Verbal: 148","TOEFL
109","UG Score
7.2CGPA","Work Exp.
6 months","Tech Papers
None","","","Undergrad:

Computer Science from National Engineering College, Thoothukudi","Interested in Computer Science / Information Technology (Spring 2017)"
"Kingsley","https://yocket.in/profiles/Kingsley","","GRE

296 


Quant: 151

Verbal: 145","TOEFL
97","UG Score
6.1CGPA","Work Exp.
NA","Tech Papers
International","","","Undergrad:

Computer Science from Xavier Institute Of Engineering, Mahim, Mumbai","Computer Science (Fall 2017)"
