profile,profile-href,Name,GRE,TOEFL,UG_Score,work_exp,paper,nexpage,nexpage-href,background,year
"shiv2909","https://yocket.in/profiles/shiv2909","","GRE

appearing
10 Aug","TOEFL
108","UG Score
83.6%","Work Exp.
30 months","Tech Papers
None","","","Undergrad:

Computer Science from Maulana Azad National Institute of Technology, Bhopal (MANIT, Bhopal), Bhopal","Computer Science (Spring 2017)"
"shahyash93","https://yocket.in/profiles/shahyash93","","GRE

318 


Quant: 163

Verbal: 155","TOEFL
108","UG Score
71%","Work Exp.
10 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/588-new-york-university/2?page=2","Undergrad:

Computer Science from NMIMS Mukesh Patel School of Technology and Management, Vile Parle, Mumbai","Computer Science (Spring 2016)"
"Ankit-Bhagat","https://yocket.in/profiles/Ankit-Bhagat","","GRE

317 


Quant: 166

Verbal: 151","TOEFL
104","UG Score
71.5%","Work Exp.
6 months","Tech Papers
None","","","Undergrad:

Computer Science from Pune Institute Of Computer Technology, Dhakavdi, Pune","Computer Science (Fall 2016)"
"irushabhpatel","https://yocket.in/profiles/irushabhpatel","","GRE

301 


Quant: 159

Verbal: 142","TOEFL
85","UG Score
8.07CGPA","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Information Technology from Thakur College Of Engineering And Technology, Kandivali, Mumbai","Computer Science (Fall 2016)"
"ashis","https://yocket.in/profiles/ashis","","GRE

321 


Quant: 170

Verbal: 151","TOEFL
109","UG Score
7.9CGPA","Work Exp.
56 months","Tech Papers
International","","","Undergrad:

Computer Science from VEER SURENDRA SAI UNIVERSITY OF TECHNOLOGY, Sambalpur","Interested in Computer Science / Information Technology (Fall 2016)"
"bhaskargurram","https://yocket.in/profiles/bhaskargurram","","GRE

321 


Quant: 170

Verbal: 151","TOEFL
105","UG Score
8.97CGPA","Work Exp.
NA","Tech Papers
International","","","Undergrad:

Computer Science from Vivekanand Education Society's Institute Of Technology (VESIT), Chembur, Mumbai","Computer Science (Fall 2016)"
"pradnesh07","https://yocket.in/profiles/pradnesh07","","GRE

317 


Quant: 170

Verbal: 147","TOEFL
107","UG Score
58%","Work Exp.
10 months","Tech Papers
None","","","Undergrad:

Computer Science from Vidyalankar Institute Of Technology (VIT), Wadala, Mumbai","Computer Science (Fall 2016)"
"yashkelkar.stupidsid","https://yocket.in/profiles/yashkelkar.stupidsid","","GRE

315 


Quant: 164

Verbal: 151","TOEFL
106","UG Score
59%","Work Exp.
20 months","Tech Papers","","https://yocket.in/applications-admits-rejects/588-new-york-university/2?page=2","Undergrad:

Computer Science from Marathwada Mitra Mandal's College Of Engineering (MMCOE), Pune","Computer Science (Fall 2013)"
"wandererofadmit","https://yocket.in/profiles/wandererofadmit","","GRE

325 


Quant: 166

Verbal: 159","TOEFL/IELTS
N.A.","UG Score
8.64CGPA","Work Exp.
24 months","Tech Papers
International","","","Undergrad:

Computer Science from MS Ramaiah Institute Of Techniology, Bengaluru","Interested in Computer Science / Information Technology (Spring 2017)"
"apurva.p","https://yocket.in/profiles/apurva.p","","GRE

325 


Quant: 170

Verbal: 155","TOEFL
114","UG Score
68.6%","Work Exp.
24 months","Tech Papers
None","","","Undergrad:

Information Technology from Sardar Patel Institute Of Technology (SPIT), Andheri, Mumbai","Computer Science (Fall 2016)"
"sarkery","https://yocket.in/profiles/sarkery","","GRE

306 


Quant: 160

Verbal: 146","TOEFL
98","UG Score
7.88CGPA","Work Exp.
30 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/588-new-york-university/2?page=2","Undergrad:

Computer Science from Manipal Institute of Technology (MIT), Manipal","Interested in Computer Science / Information Technology (Fall 2016)"
"supnp6","https://yocket.in/profiles/supnp6","","GRE

appearing
30 Mar","TOEFL/IELTS
N.A.","UG Score
9.35CGPA","Work Exp.
30 months","Tech Papers
None","","","Undergrad:

Information Technology from Msrit, Bengaluru","Interested in Computer Science / Information Technology (Fall 2016)"
