profile,profile-href,Name,GRE,TOEFL,UG_Score,work_exp,paper,nexpage,nexpage-href,background,year
"darsh56","https://yocket.in/profiles/darsh56","","GRE

298 


Quant: 159

Verbal: 139","IELTS
6","UG Score
8.24CGPA","Work Exp.
2 months","Tech Papers
None","","","Undergrad:

Computer Science from Ldrp ITR, Gandhidham","Computer Science (Fall 2017)"
"Ramprakash-D","https://yocket.in/profiles/Ramprakash-D","","GRE

294 


Quant: 155

Verbal: 139","TOEFL
84","UG Score
6.89CGPA","Work Exp.
24 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=7","Undergrad:

Computer Science from Madras Institute of Technology (MIT), Chromepet, Chennai","Computer Science (Fall 2016)"
"usharanii22","https://yocket.in/profiles/usharanii22","","GRE

297 


Quant: 155

Verbal: 142","IELTS
6.5","UG Score
69.38%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=7","Undergrad:

Computer Science from shri vishnu engineering college for women, Bhimavaram","Computer Science (Fall 2016)"
"anirudhgadhavi","https://yocket.in/profiles/anirudhgadhavi","","GRE

294 


Quant: 155

Verbal: 139","IELTS
6.5","UG Score
6.29CGPA","Work Exp.
6 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=5","Undergrad:

Computer Science from Gujarat Technological University, Ahmedabad","Computer Science (Fall 2017)"
"sasleen","https://yocket.in/profiles/sasleen","","GRE

301 


Quant: 142

Verbal: 159","IELTS
7","UG Score
9.18CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=2","Undergrad:

Civil Engineering from RVR & JC College of Engineering, Guntur","Interested in Computer Science / Information Technology (Spring 2017)"
"kaptain","https://yocket.in/profiles/kaptain","","GRE

291 


Quant: 157

Verbal: 134","IELTS
6","UG Score
6.37CGPA","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Information Technology from Gujarat Technological University, Ahmedabad","Interested in Computer Science / Information Technology (Fall 2017)"
"nirmik379kale","https://yocket.in/profiles/nirmik379kale","","GRE

302 


Quant: 151

Verbal: 151","TOEFL
106","UG Score
53%","Work Exp.
20 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=7","Undergrad:

Computer Science from k.k.wagh institute of engineering education and research, Nashik","Computer Science (Fall 2016)"
"sankarsh","https://yocket.in/profiles/sankarsh","","GRE

appearing
20 May","TOEFL
95","UG Score
7.62CGPA","Work Exp.
26 months","Tech Papers
Local","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=3","Undergrad:

Computer Science from Sri Jayachamarajendra College Of Engineering, Mysore, Mysuru","Interested in Computer Science / Information Technology (Fall 2017)"
"tejanls","https://yocket.in/profiles/tejanls","","GRE

297 


Quant: 152

Verbal: 145","TOEFL
83","UG Score
6.74CGPA","Work Exp.
10 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=9","Undergrad:

Electrical and Electronics Engineering from GITAM University , Hyderabad","Interested in Computer Science / Information Technology (Spring 2016)"
"Shalinidc","https://yocket.in/profiles/Shalinidc","","GRE

291 


Quant: 151

Verbal: 140","0","UG Score
56%","Work Exp.
45 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=5","Undergrad:

Computer Science from Vivekananda Institute Of Technology, Bengaluru","Computer Science (Fall 2016)"
"AGPCR7","https://yocket.in/profiles/AGPCR7","","GRE

295 


Quant: 148

Verbal: 147","IELTS
7","UG Score
7.11CGPA","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Computer Science from SVIT,VASAD, Anand","Computer Science (Fall 2017)"
"thrilok","https://yocket.in/profiles/thrilok","","GRE

298 


Quant: 152

Verbal: 146","TOEFL
84","UG Score
69%","Work Exp.
20 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=9","Undergrad:

Computer Science from Dayananda Sagar College Of Engineering, Bengaluru","Interested in Computer Science / Information Technology (Spring 2016)"
"rahulchowdarykotharu","https://yocket.in/profiles/rahulchowdarykotharu","","GRE

297 


Quant: 151

Verbal: 146","IELTS
6.5","UG Score
6.2CGPA","Work Exp.
NA","Tech Papers
International","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=9","Undergrad:

Computer Science from kluniversity, Guntur","Interested in Computer Science / Information Technology (Spring 2016)"
"Ashtazz","https://yocket.in/profiles/Ashtazz","","GRE

299 


Quant: 157

Verbal: 142","TOEFL
99","UG Score
6.8CGPA","Work Exp.
15 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=3","Undergrad:

Computer Science from Velammal Engineering College , Chennai","Computer Science (Fall 2017)"
"Anmol009","https://yocket.in/profiles/Anmol009","","GRE

306 


Quant: 156

Verbal: 150","TOEFL
101","UG Score
63%","Work Exp.
8 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=6","Undergrad:

Information Technology from ISB&M School Of Technology, Nande Village, Pune","Computer Science (Fall 2016)"
"sangeetasati","https://yocket.in/profiles/sangeetasati","","GRE

305 


Quant: 159

Verbal: 146","TOEFL
81","UG Score
6.41CGPA","Work Exp.
10 months","Tech Papers
Local","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=7","Undergrad:

Computer Science from University Institute of Technology, Bhopal","Computer Science (Fall 2016)"
"sriku","https://yocket.in/profiles/sriku","","GRE

288 


Quant: 151

Verbal: 137","TOEFL/IELTS
N.A.","UG Score
6.7CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=3","Undergrad:

Computer Science from RMK Engineering College (RMKEC), Kavaraipettai, Chennai","Computer Science (Spring 2016)"
"1siddu","https://yocket.in/profiles/1siddu","","GRE

307 


Quant: 157

Verbal: 150","TOEFL
87","UG Score
8.9CGPA","Work Exp.
NA","Tech Papers
International","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=3","Undergrad:

Electronics and Communication Engineering from Hindustan University - Hindustan Institute of Science & Technology (HITS), Chennai","Interested in Computer Science / Information Technology (Fall 2017)"
"sahasreddy9866","https://yocket.in/profiles/sahasreddy9866","","GRE

294 


Quant: 157

Verbal: 137","IELTS
6","UG Score
65%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=6","Undergrad:

Electronics and Communication Engineering from CVR College Of Engineering, Hyderabad","Interested in Computer Science / Information Technology (Fall 2016)"
"hushah123","https://yocket.in/profiles/hushah123","","GRE

297 


Quant: 162

Verbal: 135","IELTS
7","UG Score
7.55CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=5","Undergrad:

Computer Science from alpha college of engineering and technology, Kalol","Computer Science (Fall 2016)"
"jayanth006","https://yocket.in/profiles/jayanth006","","GRE

289 


Quant: 148

Verbal: 141","IELTS
6","UG Score
54%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=5","Undergrad:

Computer Science from vtu, Belagaavi","Computer Science (Spring 2016)"
"hardik995","https://yocket.in/profiles/hardik995","","GRE

297 


Quant: 159

Verbal: 138","TOEFL
86","UG Score
6.5CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=7","Undergrad:

Computer Science from babaria, Vadodara","Computer Science (Fall 2016)"
"sandy.26804270","https://yocket.in/profiles/sandy.26804270","","GRE

303 


Quant: 158

Verbal: 145","TOEFL
97","UG Score
7.25CGPA","Work Exp.
NA","Tech Papers
National","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=5","Undergrad:

Computer Science from Atharva College Of Engineering, Malad, Mumbai","Computer Science (Fall 2017)"
"sahananayak","https://yocket.in/profiles/sahananayak","","GRE

289 


Quant: 153

Verbal: 136","IELTS
6","UG Score
71%","Work Exp.
5 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=6","Undergrad:

NIEIT, Mysuru","Interested in Computer Science / Information Technology (Fall 2016)"
"nitin99","https://yocket.in/profiles/nitin99","","GRE

296 


Quant: 152

Verbal: 144","TOEFL
81","UG Score
60%","Work Exp.
24 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=5","Undergrad:

Computer Science from Watumull Institute Of Electronics Engineering And Computer Technology, Worli, Mumbai","Computer Science (Fall 2016)"
"Geofee","https://yocket.in/profiles/Geofee","","GRE

294 


Quant: 151

Verbal: 143","TOEFL
91","UG Score
7CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=4","Undergrad:

Computer Science from St.josephs college of Engineering, Chennai","Computer Science (Spring 2017)"
"buddhu636","https://yocket.in/profiles/buddhu636","","GRE

299 


Quant: 158

Verbal: 141","IELTS
6","UG Score
69%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=5","Undergrad:

Electronics and Communication Engineering from Nalla Narasimha Reddy Education Society's Group of Institutions, Hyderabad","Computer Science (Fall 2016)"
"kannaya","https://yocket.in/profiles/kannaya","","GRE

298 


Quant: 158

Verbal: 140","IELTS
6","UG Score
8.8CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/2252-texas-a-and-m-university-kingsville/2?page=6","Undergrad:

Computer Science from SRM University (Ramapuram Campus), Chennai","Geographic Information Systems (Fall 2016)"
