profile,profile-href,Name,GRE,TOEFL,UG_Score,work_exp,paper,nexpage,nexpage-href,background,year
"mayur24","https://yocket.in/profiles/mayur24","","GRE

308 


Quant: 154

Verbal: 154","TOEFL
96","UG Score
65%","Work Exp.
30 months","Tech Papers
Local","","","Undergrad:

Computer Science from Pune Institute Of Computer Technology, Dhakavdi, Pune","Computer Science (Fall 2016)"
"abhinand08","https://yocket.in/profiles/abhinand08","","GRE

314 


Quant: 168

Verbal: 146","TOEFL
100","UG Score
8.5CGPA","Work Exp.
24 months","Tech Papers
National","","","Undergrad:

Computer Science from ANITS, Visakhapatnam","Computer Engineering (Fall 2016)"
"PavanPalegar","https://yocket.in/profiles/PavanPalegar","","GRE

303 


Quant: 158

Verbal: 145","TOEFL
90","UG Score
8CGPA","Work Exp.
25 months","Tech Papers
None","","","Undergrad:

Information Technology from PES Institute Of Technology (PES University), Bengaluru","Computer Science (Fall 2016)"
"pratikedu","https://yocket.in/profiles/pratikedu","","GRE

302 


Quant: 157

Verbal: 145","TOEFL
87","UG Score
66%","Work Exp.
NA","Tech Papers
National","","","Undergrad:

Computer Science from Pune Institute Of Computer Technology, Dhakavdi, Pune","Computer Science (Fall 2016)"
"apramanik","https://yocket.in/profiles/apramanik","","GRE

312 


Quant: 162

Verbal: 150","TOEFL
88","UG Score
64.2%","Work Exp.
30 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/698-university-of-maryland-baltimore-county/2?page=2","Undergrad:

Information Technology from Sinhgad Institute Of Technology And Science, Narhe, Pune","Interested in Computer Science / Information Technology (Fall 2015)"
"keshavraj","https://yocket.in/profiles/keshavraj","","GRE

313 


Quant: 161

Verbal: 152","TOEFL
97","UG Score
7.02CGPA","Work Exp.
31 months","Tech Papers
None","","","Undergrad:

Information Technology from Gujarat Technological University, Ahmedabad","Computer Engineering (Spring 2017)"
"prasadakmar","https://yocket.in/profiles/prasadakmar","","GRE

297 


Quant: 159

Verbal: 138","TOEFL
92","UG Score
61%","Work Exp.
30 months","Tech Papers
International","","","Undergrad:

Computer Science from Marathwada Mitra Mandal's Institute Of Technology (MMIT), Lohgaon, Pune","Computer Science (Spring 2017)"
"elmaestro08","https://yocket.in/profiles/elmaestro08","","GRE

317 


Quant: 167

Verbal: 150","TOEFL
108","UG Score
74%","Work Exp.
6 months","Tech Papers
International","","","Undergrad:

Computer Science from PICT, Pune","Interested in Computer Science / Information Technology (Fall 2016)"
"maito","https://yocket.in/profiles/maito","","GRE

312 


Quant: 170

Verbal: 142","TOEFL
87","UG Score
8.46CGPA","Work Exp.
3 months","Tech Papers
None","","","Undergrad:

Information Technology from LDCE, Ahmedabad, Ahmedabad","Interested in Computer Science / Information Technology (Fall 2017)"
"Parva","https://yocket.in/profiles/Parva","","GRE

300 


Quant: 160

Verbal: 140","TOEFL
90","UG Score
7.74CGPA","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Information Technology from Charotar University Of Science And Technology , Anand","Interested in Computer Science / Information Technology (Fall 2017)"
