profile,profile-href,Name,GRE,TOEFL,UG_Score,work_exp,paper,nexpage,nexpage-href,background,year
"kvspd","https://yocket.in/profiles/kvspd","","GRE

322 


Quant: 164

Verbal: 158","TOEFL
100","UG Score
9.4CGPA","Work Exp.
20 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/281-university-of-california-berkeley/3?page=2","Undergrad:

Information Technology from Sir M. Visvesvaraya Institute Of Technology (MVIT), Bengaluru","Interested in Computer Science / Information Technology (Fall 2016)"
"whizvids","https://yocket.in/profiles/whizvids","","GRE

327 


Quant: 167

Verbal: 160","TOEFL
114","UG Score
8.1CGPA","Work Exp.
24 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/281-university-of-california-berkeley/3?page=2","Undergrad:

Computer Science from Dhirubhai Ambani Institute of Information & Communication Technology (DA-IICT), Gandhinagar","Interested in Computer Science / Information Technology (Fall 2016)"
"bhavyavk","https://yocket.in/profiles/bhavyavk","","GRE

327 


Quant: 168

Verbal: 159","TOEFL
110","UG Score
9.58CGPA","Work Exp.
24 months","Tech Papers
National","","","Undergrad:

Computer Science from RV College Of Engineering (RVCE), Bengaluru","Interested in Computer Science / Information Technology (Fall 2017)"
"gangstergopi","https://yocket.in/profiles/gangstergopi","","GRE

322 


Quant: 169

Verbal: 153","TOEFL
103","UG Score
8.43CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/281-university-of-california-berkeley/3?page=3","Undergrad:

Computer Science from College Of Engineering (COEP), Pune","Interested in Computer Science / Information Technology (Fall 2015)"
"parth1861994","https://yocket.in/profiles/parth1861994","","GRE

320 


Quant: 167

Verbal: 153","TOEFL
109","UG Score
9.1CGPA","Work Exp.
2 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/281-university-of-california-berkeley/3?page=2","Undergrad:

Information Technology from Sardar Patel Institute Of Technology (SPIT), Andheri, Mumbai","Computer Science (Fall 2016)"
"samson112015","https://yocket.in/profiles/samson112015","","GRE

323 


Quant: 168

Verbal: 155","IELTS
6.5","UG Score
68%","Work Exp.
NA","Tech Papers
Local","","https://yocket.in/applications-admits-rejects/281-university-of-california-berkeley/3?page=4","Undergrad:

Electronics and Communication Engineering from Sreyas Institute Of Engineering Technology, Hyderabad","Interested in Computer Science / Information Technology (Spring 2016)"
"harold","https://yocket.in/profiles/harold","","GRE

320 


Quant: 166

Verbal: 154","TOEFL
114","UG Score
9.77CGPA","Work Exp.
NA","Tech Papers
National","","","Undergrad:

Computer Science from RV College Of Engineering (RVCE), Bengaluru","Interested in Computer Science / Information Technology (Fall 2017)"
"Jyotisaini","https://yocket.in/profiles/Jyotisaini","","GRE

326 


Quant: 169

Verbal: 157","TOEFL/IELTS
N.A.","UG Score
9.6CGPA","Work Exp.
56 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/281-university-of-california-berkeley/3?page=2","Undergrad:

Information Technology from National Institute of Technology, Kurukshetra (NIT-KKR), Kurukshetra","Interested in Computer Science / Information Technology (Fall 2017)"
"abpandeyy","https://yocket.in/profiles/abpandeyy","","GRE

330 


Quant: 170

Verbal: 160","TOEFL
107","UG Score
75%","Work Exp.
15 months","Tech Papers
None","","","Undergrad:

Computer Science from Thakur College Of Engineering And Technology, Kandivali, Mumbai","Interested in Computer Science / Information Technology (Fall 2017)"
"Divyansh9196","https://yocket.in/profiles/Divyansh9196","","GRE

330 


Quant: 168

Verbal: 162","TOEFL
109","UG Score
9.45CGPA","Work Exp.
4 months","Tech Papers
International","","","Undergrad:

Computer Science from Thapar University, Patiala","Interested in Computer Science / Information Technology (Fall 2017)"
