profile,profile-href,Name,GRE,TOEFL,UG_Score,work_exp,paper,nexpage,nexpage-href,background,year
"Faiyazz","https://yocket.in/profiles/Faiyazz","","GRE

312 


Quant: 164

Verbal: 148","TOEFL
104","UG Score
77.95%","Work Exp.
4 months","Tech Papers
None","","","Undergrad:

Computer Science from Osmania University, Hyderabad","Interested in Computer Science / Information Technology (Fall 2017)"
"siddair","https://yocket.in/profiles/siddair","","GRE

322 


Quant: 163

Verbal: 159","TOEFL
114","UG Score
8.27CGPA","Work Exp.
10 months","Tech Papers
None","","","Undergrad:

Computer Science from Amrita University, Amritapuri","Interested in Computer Science / Information Technology (Fall 2016)"
"rajatgupta13","https://yocket.in/profiles/rajatgupta13","","GRE

328 


Quant: 170

Verbal: 158","TOEFL
107","UG Score
8.19CGPA","Work Exp.
2 months","Tech Papers
International","","","Undergrad:

Computer Science from Vivekanand Education Society's Institute Of Technology (VESIT), Chembur, Mumbai","Interested in Computer Science / Information Technology (Fall 2017)"
"Mkp93","https://yocket.in/profiles/Mkp93","","GRE

317 


Quant: 164

Verbal: 153","TOEFL
111","UG Score
78%","Work Exp.
17 months","Tech Papers
International","","","Undergrad:

Computer Science from Mahatma Gandhi Institute Of Technology (MGIT), Hyderabad","Computer Science (Fall 2017)"
"soumyaroop","https://yocket.in/profiles/soumyaroop","","GRE

315 


Quant: 163

Verbal: 152","TOEFL
108","UG Score
8.76CGPA","Work Exp.
30 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/2?page=2","Undergrad:

NA","Interested in Computer Science / Information Technology (Fall 2015)"
"GN7BANG","https://yocket.in/profiles/GN7BANG","","GRE

325 


Quant: 168

Verbal: 157","TOEFL
113","UG Score
8.13CGPA","Work Exp.
6 months","Tech Papers
International","","","Undergrad:

Computer Science from International Institute of Information Technology (IIIT), Hyderabad","Interested in Computer Science / Information Technology (Fall 2017)"
"srivaths.stupidsid","https://yocket.in/profiles/srivaths.stupidsid","","GRE

331 


Quant: 170

Verbal: 161","TOEFL
118","UG Score
8.85CGPA","Work Exp.
20 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/2?page=2","Undergrad:

Computer Science from National Institute of Technology Karnataka, Surathkal (NIT-K), Surathkal","Computer Science (Fall 2014)"
"pradnesh07","https://yocket.in/profiles/pradnesh07","","GRE

317 


Quant: 170

Verbal: 147","TOEFL
107","UG Score
58%","Work Exp.
10 months","Tech Papers
None","","","Undergrad:

Computer Science from Vidyalankar Institute Of Technology (VIT), Wadala, Mumbai","Computer Science (Fall 2016)"
"khanzaid09","https://yocket.in/profiles/khanzaid09","","GRE

335 


Quant: 166

Verbal: 169","TOEFL
99","UG Score
9.08CGPA","Work Exp.
30 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/2?page=2","Undergrad:

Instrumentation Engineering from NIT Tiruchirappalli, Tiruchirappalli","Interested in Electrical / Electronics / Telecomm (Fall 2015)"
"4r4232","https://yocket.in/profiles/4r4232","","GRE

325 


Quant: 170

Verbal: 155","TOEFL
110","UG Score
8.9CGPA","Work Exp.
40 months","Tech Papers
None","","","Undergrad:

Computer Science from NIT Warangal, Warangal","Interested in Computer Science / Information Technology (Spring 2017)"
