profile,profile-href,Name,GRE,TOEFL,UG_Score,work_exp,paper,nexpage,nexpage-href,background,year
"chaudhry","https://yocket.in/profiles/chaudhry","","GRE

300 


Quant: 157

Verbal: 143","TOEFL
88","UG Score
60%","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Computer Science from Fast-Nu Isb, Islamabad","Computer Science (Spring 2017)"
"kami1","https://yocket.in/profiles/kami1","","GRE

281 


Quant: 137

Verbal: 144","IELTS
6.5","UG Score
6.06CGPA","Work Exp.
6 months","Tech Papers
None","","","Undergrad:

Information Technology from R.M.D Engineering College, Thiruvallur","Interested in Management Information System (MIS) (Fall 2016)"
"crsandeep7","https://yocket.in/profiles/crsandeep7","","GRE

285 


Quant: 146

Verbal: 139","IELTS
5.5","UG Score
7.5CGPA","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Computer Science from SRM University (Kattankulathur Campus), Chennai","Interested in Computer Science / Information Technology (Spring 2016)"
"Aarsh","https://yocket.in/profiles/Aarsh","","GRE

285 


Quant: 152

Verbal: 133","IELTS
6","UG Score
69.45%","Work Exp.
12 months","Tech Papers
None","","","Undergrad:

Computer Science from Rajasthan Technical University, Kota","Information, Network, and Computer Security (Fall 2016)"
"swapnika","https://yocket.in/profiles/swapnika","","GRE

287 


Quant: 151

Verbal: 136","IELTS
6.5","UG Score
7.93CGPA","Work Exp.
17 months","Tech Papers
None","","","Undergrad:

Information Technology from GITAM University , Visakhapatnam","Interested in Computer Science / Information Technology (Fall 2017)"
"akshay.basavarajuatgmail.com","https://yocket.in/profiles/akshay.basavarajuatgmail.com","","GRE

284 


Quant: 147

Verbal: 137","IELTS
6.5","UG Score
76%","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Electronics and Communication Engineering from sri sarathi institute of engineering and technology, Nuzvid","Interested in Electrical / Electronics / Telecomm (Spring 2016)"
"ub","https://yocket.in/profiles/ub","","GRE

290 


Quant: 148

Verbal: 142","IELTS
6","UG Score
64.65%","Work Exp.
NA","Tech Papers
NA","","","Undergrad:

Mechanical Engineering from Sreenidhi Institute Of Science And Technology, Hyderabad","Interested in Computer Science / Information Technology (Fall 2012)"
"jimmy","https://yocket.in/profiles/jimmy","","GRE

286 


Quant: 150

Verbal: 136","IELTS
6","UG Score
7.02CGPA","Work Exp.
6 months","Tech Papers
None","","","Undergrad:

Computer Science from Silver Oak College Of Engineering , Ahmedabad","Interested in Computer Science / Information Technology (Fall 2016)"
"Kaushal05","https://yocket.in/profiles/Kaushal05","","GRE

appearing
8 Nov","IELTS
6","UG Score
7.07CGPA","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Information Technology from Gujarat Technological University, Ahmedabad","Interested in Computer Science / Information Technology (Spring 2017)"
"vijayit84","https://yocket.in/profiles/vijayit84","","GRE

298 


Quant: 155

Verbal: 143","TOEFL
78","UG Score
71.6%","Work Exp.
55 months","Tech Papers
None","","","Undergrad:

Information Technology from Vignan's University, Guntur","Interested in Computer Science / Information Technology (Fall 2016)"
"snehithreddy","https://yocket.in/profiles/snehithreddy","","GRE

281 


Quant: 140

Verbal: 141","IELTS
5.5","UG Score
72.6%","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Computer Science from Malla Reddy College Of Engineering And Technology, Hyderabad","Interested in Industrial / Operations (Spring 2016)"
"R. V","https://yocket.in/profiles/R.%20%20%20%20%20%20V","","GRE

289 


Quant: 148

Verbal: 141","IELTS
6.5","UG Score
66.38%","Work Exp.
21 months","Tech Papers
None","","","Undergrad:

Electronics and Communication Engineering from Institute Of Aeronautical Engineering, Hyderabad","Computer Science (Fall 2017)"
"venkatavk","https://yocket.in/profiles/venkatavk","","GRE

283 


Quant: 149

Verbal: 134","IELTS
5.5","UG Score
62.11%","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Computer Science from Malla Reddy College Of Engineering And Technology, Hyderabad","Interested in Computer Science / Information Technology (Spring 2016)"
"akhilreddy402","https://yocket.in/profiles/akhilreddy402","","GRE

291 


Quant: 148

Verbal: 143","IELTS
5.5","UG Score
67%","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Electronics and Communication Engineering from Prakasam Engineering College, Kandukur","Interested in Computer Science / Information Technology (Spring 2016)"
"sravan73","https://yocket.in/profiles/sravan73","","GRE

291 


Quant: 151

Verbal: 140","TOEFL
69","UG Score
63%","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Mechanical Engineering from GMR Institute of Technology, Rajam","Interested in Computer Science / Information Technology (Spring 2016)"
"snehith6","https://yocket.in/profiles/snehith6","","GRE

281 


Quant: 140

Verbal: 141","IELTS
5.5","UG Score
72.6%","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Computer Science from Malla Reddy College Of Engineering And Technology, Hyderabad","Interested in Computer Science / Information Technology (Spring 2016)"
"seenu78","https://yocket.in/profiles/seenu78","","GRE

appearing
12 May","TOEFL/IELTS
N.A.","UG Score
6.5CGPA","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Electronics and Communication Engineering from Sphoorthy Engineering College, Hyderabad","Interested in Computer Science / Information Technology (Fall 2016)"
"rahultej","https://yocket.in/profiles/rahultej","","GRE

289 


Quant: 150

Verbal: 139","IELTS
6.5","UG Score
58%","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Mechanical Engineering from jntuh college of engineering sultanpur, Medak","Interested in Computer Science / Information Technology (Fall 2016)"
