profile,profile-href,Name,GRE,TOEFL,UG_Score,work_exp,paper,nexpage,nexpage-href,background,year
"hash1994","https://yocket.in/profiles/hash1994","","GRE

312 


Quant: 161

Verbal: 151","TOEFL
96","UG Score
6.75CGPA","Work Exp.
4 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/3?page=2","Undergrad:

Computer Science from Fr. C. Rodrigues Institute Of Technology, Vashi, Mumbai","Computer Science (Fall 2017)"
"vinayjois","https://yocket.in/profiles/vinayjois","","GRE

295 


Quant: 155

Verbal: 140","IELTS
6.5","UG Score
65.22%","Work Exp.
12 months","Tech Papers
None","","","Undergrad:

Computer Science from Jawaharlal Nehru National College Of Enginering, Shimoga","Computer Science (Fall 2017)"
"SharathChandu","https://yocket.in/profiles/SharathChandu","","GRE

303 


Quant: 160

Verbal: 143","IELTS
6.5","UG Score
9.15CGPA","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Electronics and Communication Engineering from Cvsr College Of Engineering, Hyderabad","Computer Science (Fall 2017)"
"rish8795","https://yocket.in/profiles/rish8795","","GRE

304 


Quant: 158

Verbal: 146","TOEFL
85","UG Score
7.33CGPA","Work Exp.
10 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/3?page=4","Undergrad:

Computer Science from Ahmedabad Institute of Technology, Ahmedabad","Computer Engineering (Fall 2016)"
"abhisheksuntwal","https://yocket.in/profiles/abhisheksuntwal","","GRE

309 


Quant: 164

Verbal: 145","TOEFL
98","UG Score
8.17CGPA","Work Exp.
29 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/3?page=2","Undergrad:

Information Technology from GITAM University , Visakhapatnam","Computer Science (Fall 2017)"
"aravind93","https://yocket.in/profiles/aravind93","","GRE

297 


Quant: 157

Verbal: 140","IELTS
6.5","UG Score
7.08CGPA","Work Exp.
31 months","Tech Papers
None","","","Undergrad:

Electronics and Communication Engineering from Anand Institute of Higher Technology, Chennai","Interested in Computer Science / Information Technology (Fall 2017)"
"harsh22","https://yocket.in/profiles/harsh22","","GRE

307 


Quant: 157

Verbal: 150","IELTS
7","UG Score
6.93CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/3?page=3","Undergrad:

Computer Science from Punjabi University, Patiala","Interested in Computer Science / Information Technology (Fall 2016)"
"Akash01","https://yocket.in/profiles/Akash01","","GRE

302 


Quant: 156

Verbal: 146","TOEFL
101","UG Score
62.73%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/3?page=3","Undergrad:

Computer Science from NMIMS Mukesh Patel School of Technology and Management, Vile Parle, Mumbai","Interested in Computer Science / Information Technology (Fall 2017)"
"vdkamdar","https://yocket.in/profiles/vdkamdar","","GRE

302 


Quant: 160

Verbal: 142","IELTS
7.5","UG Score
7.4CGPA","Work Exp.
6 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/3?page=4","Undergrad:

Information Technology from SVIT,VASAD, Anand","Computer Science (Fall 2016)"
"Pareek","https://yocket.in/profiles/Pareek","","GRE

299 


Quant: 157

Verbal: 142","IELTS
6","UG Score
8.48CGPA","Work Exp.
33 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/3?page=3","Undergrad:

Computer Science from SDM College Of Engineering And Technology, Dharwad","Interested in Computer Science / Information Technology (Fall 2017)"
"rohanpote","https://yocket.in/profiles/rohanpote","","GRE

290 


Quant: 148

Verbal: 142","TOEFL
95","UG Score
52%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/3?page=6","Undergrad:

Computer Science from skncoe vadgoan, Pune","Interested in Computer Science / Information Technology (Fall 2015)"
"ravikanth5","https://yocket.in/profiles/ravikanth5","","GRE

285 


Quant: 146

Verbal: 139","IELTS
5.5","UG Score
69.58%","Work Exp.
10 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/3?page=5","Undergrad:

Computer Science from Sree Vidyanikethan Engineering college, Tirupati","Interested in Computer Science / Information Technology (Fall 2015)"
"Tee","https://yocket.in/profiles/Tee","","GRE

312 


Quant: 164

Verbal: 148","IELTS
7.5","UG Score
57.27%","Work Exp.
48 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/3?page=3","Undergrad:

Computer Science from JSPM's Imperial College Of Engineering And Research, Wagholi, Pune","Interested in Computer Science / Information Technology (Fall 2016)"
"djaym7","https://yocket.in/profiles/djaym7","","GRE

302 


Quant: 153

Verbal: 149","TOEFL
87","UG Score
62.36%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/3?page=2","Undergrad:

Computer Science from sinhgad institute of technology, Lonavla","Interested in Computer Science / Information Technology (Fall 2017)"
"hardik995","https://yocket.in/profiles/hardik995","","GRE

297 


Quant: 159

Verbal: 138","TOEFL
86","UG Score
6.5CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/3?page=5","Undergrad:

Computer Science from babaria, Vadodara","Computer Science (Fall 2016)"
"hardikchheda13","https://yocket.in/profiles/hardikchheda13","","GRE

308 


Quant: 155

Verbal: 153","TOEFL
95","UG Score
6%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/3?page=4","Undergrad:

Information Technology from shah and anchor kutchhi college of engineering, Mumbai","Computer Science (Fall 2016)"
"atmathew007","https://yocket.in/profiles/atmathew007","","GRE

301 


Quant: 158

Verbal: 143","TOEFL
98","UG Score
54.6%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/3?page=5","Undergrad:

Information Technology from Jawaharlal Nehru National College Of Enginering, Shimoga","Interested in Computer Science / Information Technology (Fall 2015)"
"raghuveer007","https://yocket.in/profiles/raghuveer007","","GRE

310 


Quant: 162

Verbal: 148","IELTS
6.5","UG Score
80%","Work Exp.
2 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/3?page=2","Undergrad:

Electrical and Electronics Engineering from CBIT, Hyderabad","Computer Science (Fall 2017)"
"KN","https://yocket.in/profiles/KN","","GRE

310 


Quant: 160

Verbal: 150","TOEFL
89","UG Score
55%","Work Exp.
36 months","Tech Papers
International","","","Undergrad:

Computer Science from PVG's College of Engineering & Technology, Pune","Interested in Computer Science / Information Technology (Fall 2017)"
"arjun202","https://yocket.in/profiles/arjun202","","GRE

288 


Quant: 147

Verbal: 141","IELTS
7","UG Score
6.2CGPA","Work Exp.
20 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/3?page=6","Undergrad:

Information Technology from GANDHINAGAR INSTITUTE OF TECHNOLOGY, Gandhinagar","Interested in Computer Science / Information Technology (Fall 2016)"
"shwetha","https://yocket.in/profiles/shwetha","","GRE

281 


Quant: 138

Verbal: 143","TOEFL
80","UG Score
7.56CGPA","Work Exp.
12 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/3?page=4","Undergrad:

Information Technology from M S Ramaiah Institute of Technology, Bangalore, Bengaluru","Computer Science (Fall 2016)"
"akkisethiya","https://yocket.in/profiles/akkisethiya","","GRE

298 


Quant: 156

Verbal: 142","IELTS
6.5","UG Score
7.72CGPA","Work Exp.
24 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/3?page=4","Undergrad:

Computer Science from Acropolis Institute of Technology & Research, Indore","Computer Science (Fall 2016)"
"rahu1123","https://yocket.in/profiles/rahu1123","","GRE

293 


Quant: 152

Verbal: 141","TOEFL
80","UG Score
7.87CGPA","Work Exp.
NA","Tech Papers
International","","","Undergrad:

Information Technology from Rajarambapu Institute of Technology, Islampur, Sangli","Interested in Computer Science / Information Technology (Fall 2017)"
"anurag7611","https://yocket.in/profiles/anurag7611","","GRE

308 


Quant: 156

Verbal: 152","TOEFL
108","UG Score
68%","Work Exp.
NA","Tech Papers
International","","","Undergrad:

Computer Science from Smt. Kashibai Navale College Of Engineering, Vadgaon, Pune","Computer Science (Fall 2017)"
