profile,profile-href,Name,GRE,TOEFL,UG_Score,work_exp,paper,nexpage,nexpage-href,background,year
"SaloniK1994","https://yocket.in/profiles/SaloniK1994","","GRE

302 


Quant: 153

Verbal: 149","TOEFL
86","UG Score
70.13%","Work Exp.
10 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/2?page=3","Undergrad:

Computer Science from Savitribai Phule Pune University, Pune","Computer Engineering (Fall 2017)"
"ankusharora1190","https://yocket.in/profiles/ankusharora1190","","GRE

308 


Quant: 160

Verbal: 148","TOEFL
106","UG Score
67%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/2?page=17","Undergrad:

Computer Science from MDU, Rohtak, Rohtak","Computer Science (Fall 2015)"
"decached","https://yocket.in/profiles/decached","","GRE

313 


Quant: 163

Verbal: 150","TOEFL
104","UG Score
61%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/2?page=17","Undergrad:

Information Technology from Pune Institute Of Computer Technology, Dhakavdi, Pune","Interested in Computer Science / Information Technology (Fall 2016)"
"ankitnimje","https://yocket.in/profiles/ankitnimje","","GRE

303 


Quant: 159

Verbal: 144","TOEFL
83","UG Score
7.7CGPA","Work Exp.
3 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/2?page=4","Undergrad:

Electronics and Communication Engineering from St.Vincent Pallotti College of Engineering & Technology (SVPCET), Nagpur","Interested in Computer Science / Information Technology (Fall 2017)"
"jagrutee","https://yocket.in/profiles/jagrutee","","GRE

302 


Quant: 155

Verbal: 147","IELTS
7","UG Score
7.9CGPA","Work Exp.
NA","Tech Papers
National","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/2?page=7","Undergrad:

Information Technology from Annasaheb Chhudaman Patil college of engineering, Navi Mumbai","Interested in Computer Science / Information Technology (Fall 2017)"
"prudhvi1105","https://yocket.in/profiles/prudhvi1105","","GRE

302 


Quant: 159

Verbal: 143","IELTS
6.5","UG Score
78%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/2?page=10","Undergrad:

Computer Science from JNTUH, Hyderabad","Computer Science (Fall 2016)"
"kbalaji","https://yocket.in/profiles/kbalaji","","GRE

304 


Quant: 154

Verbal: 150","TOEFL
93","UG Score
54.27%","Work Exp.
20 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/2?page=13","Undergrad:

Computer Science from Padre Conceicao College of Engineering, Verna, Goa, Margao","Interested in Computer Science / Information Technology (Fall 2016)"
"rikamesagar","https://yocket.in/profiles/rikamesagar","","GRE

300 


Quant: 156

Verbal: 144","TOEFL
97","UG Score
59.16%","Work Exp.
29 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/2?page=8","Undergrad:

Information Technology from Vidyalankar Institute Of Technology (VIT), Wadala, Mumbai","Computer Science (Fall 2017)"
"dwa0456","https://yocket.in/profiles/dwa0456","","GRE

308 


Quant: 160

Verbal: 148","TOEFL
103","UG Score
7.68CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/2?page=13","Undergrad:

Information Technology from St Francis Institute Of Technology, Mumbai","Computer Science (Fall 2016)"
"rajatsomani1310","https://yocket.in/profiles/rajatsomani1310","","GRE

302 


Quant: 158

Verbal: 144","TOEFL
85","UG Score
7.34CGPA","Work Exp.
18 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/2?page=15","Undergrad:

Computer Science from West Bengal University of Technology, Kolkata","Interested in Computer Science / Information Technology (Fall 2016)"
